t,f,y,y_se,d
0.010101010101010102,0.5046617186935926,0.23832329995079116,0.4,1
0.020202020202020204,0.6001222554552215,0.8824787516050052,0.4,1
0.06060606060606061,1.0001467477813266,1.3196418948605488,0.4,1
0.07070707070707072,1.1027615674983635,0.557953178475657,0.4,1
0.11111111111111112,1.510861745822096,1.2017383264316275,0.4,1
0.13131313131313133,1.707184644451332,2.1548859060793637,0.4,1
0.14141414141414144,1.801823311255322,1.7986442989588862,0.4,1
0.16161616161616163,1.9818293123874573,2.0663332099086085,0.4,1
0.19191919191919193,2.2222823305454775,1.954946378065052,0.4,1
0.22222222222222224,2.4179375716488036,1.5572870104403318,0.4,1
0.24242424242424243,2.5189739535295614,2.3524455658470615,0.4,1
0.25252525252525254,2.559817784968996,2.5429859067430067,0.4,1
0.27272727272727276,2.621000501888354,3.2054707446409534,0.4,1
0.30303030303030304,2.65887303954101,2.9541749959017616,0.4,1
0.31313131313131315,2.6566236933614156,2.8797323976871443,0.4,1
0.36363636363636365,2.5317320391527116,2.5595574521573,0.4,1
0.4040404040404041,2.2980833190719037,2.9359194539065974,0.4,1
0.4141414141414142,2.222067251822973,2.3360138193659807,0.4,1
0.42424242424242425,2.139378778481027,1.9338327387216254,0.4,1
0.4646464646464647,1.7467502334479192,2.396668792091721,0.4,1
0.48484848484848486,1.517294836998737,2.3966460889784456,0.4,1
0.5252525252525253,1.0056294679072368,0.9596220482449258,0.4,1
0.5454545454545455,0.7296672467137283,1.4663448553964509,0.4,1
0.5555555555555556,0.5881385091267041,0.30579781752499174,0.4,1
0.5656565656565657,0.44484249193082287,0.8071058974571383,0.4,1
0.5757575757575758,0.3002447944877959,-0.33222977857500774,0.4,1
0.595959595959596,0.009032430247626436,0.28605364535222794,0.4,1
0.6161616161616162,-0.2816529490498906,-1.068278999542396,0.4,1
0.6363636363636365,-0.5679080961287986,-0.7675753309362952,0.4,1
0.6565656565656566,-0.8458362942977307,-0.5951995444187668,0.4,1
0.6767676767676768,-1.1116159401664105,-0.9299976545388365,0.4,1
0.686868686868687,-1.2387942136303252,-0.7612681372056151,0.4,1
0.7070707070707072,-1.4795298961895222,-0.5081119525789426,0.4,1
0.7272727272727273,-1.699375354689828,-2.321841884939771,0.4,1
0.7575757575757577,-1.983574332599819,-2.0324621286616873,0.4,1
0.7777777777777778,-2.139078751421111,-1.168107396327927,0.4,1
0.787878787878788,-2.2059010577378038,-1.5951492980110646,0.4,1
0.797979797979798,-2.2651841107033035,-1.0669121679239542,0.4,1
0.8080808080808082,-2.316782472316224,-2.2052550364062498,0.4,1
0.8282828282828284,-2.3965251835138597,-2.414042335908806,0.4,1
0.8484848484848485,-2.4447059441104764,-2.577870263832809,0.4,1
0.8686868686868687,-2.461511555955461,-2.8966645126834916,0.4,1
0.888888888888889,-2.4477397094078466,-2.2696282284064635,0.4,1
0.8989898989898991,-2.4297998984143567,-2.280242724580813,0.4,1
0.9292929292929294,-2.334602218647414,-2.6194155878250975,0.4,1
0.9393939393939394,-2.2900589708036376,-2.088448111184876,0.4,1
